dataset,group,method,replicates,source,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std
Simulated (12 datasets),simulated,DGCGT,60,five-split benchmark pooled over 12 datasets,0.7982320457320458,0.1279743219024203,0.8457443482443483,0.14931562146751,0.7785714285714286,0.1672306840711812,0.8811910223366987,0.1053818568509102,0.9917024320457798,0.0105451860881493
Simulated (12 datasets),simulated,IsolationForest,60,five-split benchmark pooled over 12 datasets,0.0,0.0,0.0,0.0,0.0,0.0,0.0251592118258549,0.0214943710622325,0.2108726752503576,0.1526630006861443
Simulated (12 datasets),simulated,LOF,60,five-split benchmark pooled over 12 datasets,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.0204807321722607,0.0048874697305234,0.1758634784385857,0.1266262889492115
Simulated (12 datasets),simulated,MarsGT,60,five-split benchmark pooled over 12 datasets,0.756858073413801,0.1321762892041735,0.7145749620749621,0.1681033026700901,0.8380952380952381,0.1451788735953222,0.8713620441083412,0.1091507780489618,0.991600245248314,0.0091166528204122
Simulated (12 datasets),simulated,FiRE,12,R baseline pooled over 12 count-compatible datasets,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0251950401627567,0.0093436503028172,0.3353379152348225,0.1602339173799852
Simulated (12 datasets),simulated,GapClust,12,R baseline pooled over 12 count-compatible datasets,0.0698121087149084,0.0119280298308195,0.0366276584513751,0.0062711697017703,0.7523148148148149,0.1514327076484926,0.0740729030356086,0.0466752555185704,0.6255617999872726,0.0926312052037597
Simulated (12 datasets),simulated,RaceID,12,R baseline pooled over 12 count-compatible datasets,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
Mouse_retina,real,DGCGT,5,five-split benchmark,0.940043956043956,0.0537393873111807,0.890659340659341,0.0934954328653047,1.0,0.0,0.987857975357975,0.0120163121570812,0.999919571045576,7.99309375334519e-05
Mouse_retina,real,MarsGT,5,five-split benchmark,0.869562300263079,0.084259931694556,0.77749226006192,0.138916153373012,1.0,0.0,0.963408350908351,0.0356687398854309,0.999812332439678,0.0001560701447414
Mouse_retina,real,LOF,5,five-split benchmark,0.0127051349920593,0.0,0.0063931806073521,0.0,1.0,0.0,0.0068843097795165,0.0012942954607636,0.386157283288651,0.062447103224696
Mouse_retina,real,IsolationForest,5,five-split benchmark,0.114666666666667,0.160443828869241,0.101709401709402,0.14025950922893,0.133333333333333,0.191847740553689,0.156833443049021,0.0483247270983945,0.973351206434316,0.0093978674461395
Mouse_retina,real,FiRE,1,R baseline,0.0124960288044054,0.0,0.0062872975277067,0.0,1.0,0.0,0.0842362010800568,0.0,0.900004544008725,0.0
Mouse_retina,real,GapClust,1,R baseline,0.0287104622871046,0.0,0.0145643051098494,0.0,1.0,0.0,0.0559493838651708,0.0,0.946961421365929,0.0
Mouse_retina,real,RaceID,1,R baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0062872975277067,0.0,0.298176943699732,0.0
B_lymphoma,real,DGCGT,5,five-split benchmark,0.39057499157398,0.0463675695833508,0.273813265696454,0.034706926928875,0.688,0.0954986910905066,0.514686659992245,0.0812529275422768,0.92904011461318,0.017937563498641
B_lymphoma,real,MarsGT,5,five-split benchmark,0.273387842758674,0.0198600854354483,0.165032167015523,0.0145158398806093,0.808,0.0867179335547153,0.504371458797584,0.0798555758129807,0.924756446991404,0.0109015056571359
B_lymphoma,real,LOF,5,five-split benchmark,0.0175932441942294,0.0,0.0088746893858714,0.0,1.0,0.0,0.0248348348255878,0.0222699285446707,0.623702005730659,0.0371006313091823
B_lymphoma,real,IsolationForest,5,five-split benchmark,0.0148148148148148,0.0331269329999969,0.1,0.223606797749979,0.008,0.0178885438199983,0.0404711759629149,0.0288574922652142,0.751272206303725,0.0244563372849545
B_lymphoma,real,FiRE,1,R baseline,0.0177314945116803,0.0,0.0089450518245066,0.0,1.0,0.0,0.0100891081190489,0.0,0.579907729567472,0.0
B_lymphoma,real,GapClust,1,R baseline,0.0240415854450942,0.0,0.0122719734660033,0.0,0.587301587301587,0.0,0.0163113376576907,0.0,0.619799199526993,0.0
B_lymphoma,real,RaceID,1,R baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0089450518245066,0.0,0.499570200573066,0.0
PBMCs_sampled,real,DGCGT,5,five-split benchmark,0.350227616040234,0.0125962850247827,0.225188655291395,0.008978696930791,0.790476190476191,0.0542940678618637,0.226687581541908,0.042989069324745,0.958858641826601,0.0150664659594405
PBMCs_sampled,real,MarsGT,5,five-split benchmark,0.261670840480167,0.0238296679787573,0.154134341723275,0.0143225993414276,0.866666666666667,0.0782460796435952,0.259330997832373,0.0585356386633718,0.957472095077491,0.012065147166199
PBMCs_sampled,real,LOF,5,five-split benchmark,0.0230642504118616,0.0,0.0116666666666667,0.0,1.0,0.0,0.0163413015746837,0.0034796464691972,0.523528467036056,0.06295851537545
PBMCs_sampled,real,IsolationForest,5,five-split benchmark,0.0231932773109244,0.0317642612569478,0.0296703296703297,0.0406741879633445,0.019047619047619,0.026082026547865,0.0284864843552725,0.0057984627342027,0.705607751813485,0.0298573699002846
PBMCs_sampled,real,FiRE,1,R baseline,0.0160899272647124,0.0,0.0081102099766692,0.0,1.0,0.0,0.0336995121114256,0.0,0.752026869445672,0.0
PBMCs_sampled,real,GapClust,1,R baseline,0.0150531286894923,0.0,0.007608533492466,0.0,0.698630136986301,0.0,0.0250061168078925,0.0,0.601814516129032,0.0
PBMCs_sampled,real,RaceID,1,R baseline,0.0182864883169658,0.0,0.0092576718669638,0.0,0.73972602739726,0.0,0.0089590174023666,0.0,0.546218300436981,0.0
